Year,Farm,Site,Latitude,Longitude,Habitat,Deployed,Collected,Forest_cover_60m,Forest_cover_100m,Forest_cover_200m,Forest_cover_300m,Forest_cover_400m,Forest_cover_500m,Distance_to_edge(m)
2023,Turmalina,TU1,-2.088716,-47.49881,Pasture,10/02/2023,17/02/2023,0,0,1.298701299,10.43478261,14.82701812,13.23210412,172.8835582
2023,Turmalina,TU2,-2.083065,-47.496821,Pasture,08/02/2023,15/02/2023,0,0,0,0,0,0.753498385,482.8559314
2023,Turmalina,TU3,-2.069189,-47.494148,Pasture,08/02/2023,15/02/2023,0,2.380952381,17.61006289,22.89855072,20.5,20.12917115,94.30093473
2023,Turmalina,TU4,-2.072127,-47.468492,Pasture,08/02/2023,15/02/2023,0,0,0,0,0,0,545.2794929
2023,Turmalina,TU5,-2.100124,-47.469751,Pasture,09/02/2023,16/02/2023,0,0,1.910828025,9.329446064,11.22112211,9.663409338,184.2442823
2023,Turmalina,TU6,-2.094104,-47.498256,Pasture,10/02/2023,17/02/2023,0,0,0,11.30434783,20.20033389,17.46203905,210.3561337
2023,Turmalina,TU7,-2.065871,-47.488182,Pasture,08/02/2023,15/02/2023,0,0,0,0,2.504173623,4.731182796,301.7292119
2023,Turmalina,TU9,-2.090291,-47.504082,Pasture,15/02/2023,18/02/2023,0,0,0,5.217391304,14.00329489,14.96746204,216.4740035
2023,Turmalina,TU10,-2.093033,-47.471907,Pasture,08/02/2023,15/02/2023,0,0,0,0.869565217,2.965403624,4.772234273,265.6805669
2023,Turmalina,TU11,-2.071157,-47.485681,Pasture,17/02/2023,24/02/2023,0,0,9.677419355,12.17391304,7.272727273,4.767063922,118.9703023
2023,Turmalina,TU12,-2.101129,-47.461988,Pasture,09/02/2023,16/02/2023,0,0,0,0,3.005008347,6.23655914,354.0716051
2023,Turmalina,TU13,-2.074989,-47.456403,Pasture,08/02/2023,15/02/2023,0,0,0,0,1.328903654,3.663793103,346.1865374
2023,Turmalina,TU14,-2.083833,-47.473717,Pasture,08/02/2023,15/02/2023,0,0,0,0,0,0,897.7945836
2023,Turmalina,TU15,-2.093558,-47.476995,Pasture,08/02/2023,15/02/2023,0,0,0,0,0,0,651.3695813
2023,Turmalina,TU17,-2.07564,-47.48201,Pasture,08/02/2023,15/02/2023,0,0,3.086419753,7.26744186,7.166666667,5.913978495,164.6904051
2023,Turmalina,TU18,-2.096692,-47.456684,Pasture,09/02/2023,16/02/2023,0,0,0,13.9941691,20.16666667,15.93110872,188.2017808
2023,Turmalina,TU20,-2.09895,-47.502468,Pasture,15/02/2023,23/02/2023,0,0,0,4.057971014,7.768595041,8.785249458,235.4211927
2023,Turmalina,TU21,-2.083691,-47.466376,Pasture,08/02/2023,15/02/2023,0,0,0,0,0,0,561.0585314
2023,Turmalina,TU22,-2.094078,-47.489761,Pasture,15/02/2023,22/02/2023,0,0,0,0.289855072,1.652892562,2.062975027,282.771918
2023,Turmalina,TU23,-2.077953,-47.452807,Pasture,08/02/2023,15/02/2023,0,0,0,0,0,0,640.9260538
2023,Turmalina,TU26,-2.068605,-47.480761,Pasture,08/02/2023,10/02/2023,0,0,0,0,0,0,588.250678
2023,Turmalina,TU27,-2.07688,-47.46355,Forest,08/02/2023,15/02/2023,100,66.66666667,32.25806452,23.21428571,16.69421488,13.54279523,44.98997142
2023,Turmalina,TU28,-2.082806,-47.501399,Forest,10/02/2023,17/02/2023,37.5,50,32.29813665,22.38372093,15.24288107,10.21505376,3.161533419
2023,Turmalina,TU29,-2.082468,-47.483673,Forest,10/02/2023,17/02/2023,100,87.80487805,27.04402516,12.42774566,8.695652174,8.073196986,66.11910332
2024,Perola,PE3,-2.253718,-47.715596,Pasture,20/02/2024,29/02/2024,0,0,0,0,0,0,526.9119699
2024,Perola,PE4,-2.265575,-47.712317,Juquira,21/02/2024,29/02/2024,0,0,0,0,0,0,495.9414754
2024,Perola,PE7,-2.261889,-47.727388,Pasture,20/02/2024,29/02/2024,0,0,0,0,0,0,961.6216904
2024,Perola,PE8,-2.262613,-47.732477,Pasture,20/02/2024,29/02/2024,0,0,0,0,0,0.968783638,449.4914327
